Country,Year,Count,Count_median,Count_min,Count_max,WHO Region,,Total
Panama,2010,500[500–570],500,500,570,Americas,,1500
Papua New Guinea,2010,na,,,,Western Pacific,,0
Paraguay,2010,790[540–1200],790,540,1200,Americas,,2010
Peru,2010,2100[1400–3300],2100,1400,3300,Americas,,8200
Philippines,2010,500[200–500],500,200,500,Western Pacific,,1800
Poland,2010,na,,,,Europe,,0
Portugal,2010,930[730–1200],930,730,1200,Europe,,2530
Qatar,2010,na,,,,Eastern Mediterranean,,0
Republic of Korea,2010,na,,,,Western Pacific,,0
Republic of Moldova,2010,740[510–1100],740,510,1100,Europe,,1810
Republic of North Macedonia,2010,100[100–100],100,100,100,Europe,,300
Romania,2010,200[100–200],200,100,200,Europe,,900
Russian Federation,2010,na,,,,Europe,,0
Rwanda,2010,5700[4700–7100],5700,4700,7100,Africa,,26600
Saudi Arabia,2010,na,,,,Eastern Mediterranean,,0
Senegal,2010,1300[1000–1800],1300,1000,1800,Africa,,4300
Serbia,2010,100[100–100],100,100,100,Europe,,400
Sierra Leone,2010,2900[2400–3600],2900,2400,3600,Africa,,7400
Singapore,2010,100[100–200],100,100,200,Western Pacific,,200
Slovakia,2010,100[100–100],100,100,100,Europe,,300
Slovenia,2010,100[100–100],100,100,100,Europe,,300
Somalia,2010,1400[1200–1700],1400,1200,1700,Eastern Mediterranean,,2920
South Africa,2010,140000[110000–170000],140000,110000,170000,Africa,,311000
South Sudan,2010,9800[7300–13000],9800,7300,13000,Africa,,24800
Spain,2010,1300[1100–1700],1300,1100,1700,Europe,,3100
Sri Lanka,2010,500[200–500],500,200,500,South-East Asia,,800
Sudan,2010,1900[1300–2600],1900,1300,2600,Eastern Mediterranean,,5450
Suriname,2010,200[100–500],200,100,500,Americas,,500
Sweden,2010,na,,,,Europe,,0
Switzerland,2010,na,,,,Europe,,0
Syrian Arab Republic,2010,100[100–100],100,100,100,Eastern Mediterranean,,300
Tajikistan,2010,500[500–560],500,500,560,Europe,,1100
Thailand,2010,27000[19000–36000],27000,19000,36000,South-East Asia,,99000
Timor-Leste,2010,na,,,,South-East Asia,,0
Togo,2010,5700[5100–6300],5700,5100,6300,Africa,,15100
Trinidad and Tobago,2010,na,,,,Americas,,0
Tunisia,2010,100[100–100],100,100,100,Eastern Mediterranean,,300
Turkey,2010,na,,,,Europe,,0
Turkmenistan,2010,na,,,,Europe,,0
Uganda,2010,56000[48000–66000],56000,48000,66000,Africa,,164000
Ukraine,2010,12000[10000–15000],12000,10000,15000,Europe,,22600
United Arab Emirates,2010,na,,,,Eastern Mediterranean,,0
United Kingdom of Great Britain and Northern Ireland,2010,na,,,,Europe,,0
United Republic of Tanzania,2010,48000[42000–53000],48000,42000,53000,Africa,,152000
United States of America,2010,na,,,,Americas,,0
Uruguay,2010,500[200–500],500,200,500,Americas,,1200
Uzbekistan,2010,1800[1700–1900],1800,1700,1900,Europe,,3940
Venezuela (Bolivarian Republic of),2010,na,,,,Americas,,0
Viet Nam,2010,8500[6400–9800],8500,6400,9800,Western Pacific,,19300
Yemen,2010,200[100–500],200,100,500,Eastern Mediterranean,,800
Zambia,2010,26000[21000–35000],26000,21000,35000,Africa,,105000
Zimbabwe,2010,54000[43000–68000],54000,43000,68000,Africa,,196000
Afghanistan,2000,100[100–500],100,100,500,Eastern Mediterranean,,1100
Albania,2000,na,,,,Europe,,0
Algeria,2000,100[100–100],100,100,100,Africa,,500
Angola,2000,4800[3500–6400],4800,3500,6400,Africa,,28800
Argentina,2000,1400[1200–1700],1400,1200,1700,Americas,,4700
Armenia,2000,100[100–100],100,100,100,Europe,,500
Australia,2000,500[200–500],500,200,500,Western Pacific,,1200
Austria,2000,na,,,,Europe,,0
Azerbaijan,2000,na,,,,Europe,,0
Bahamas,2000,500[500–500],500,500,500,Americas,,900
Bahrain,2000,na,,,,Eastern Mediterranean,,0
Bangladesh,2000,100[100–100],100,100,100,South-East Asia,,1180
Barbados,2000,100[100–100],100,100,100,Americas,,300
Belarus,2000,100[100–100],100,100,100,Europe,,800
Belgium,2000,na,,,,Europe,,0
Belize,2000,100[100–100],100,100,100,Americas,,500
